Timestamp,Posición en x,Posición en y,Angulo de giro
2024-02-28 17:08:18,0.0,0.0,0.0
2024-02-28 17:08:18,-0.0244,-0.0008,0.0224
2024-02-28 17:08:19,-0.0488,-0.0029,0.0641
2024-02-28 17:08:19,-0.0004,0.004,0.1154
2024-02-28 17:08:19,-0.0243,-0.0008,0.1698
2024-02-28 17:08:19,-0.0243,-0.0008,0.2211
2024-02-28 17:08:19,-0.0243,-0.0008,0.2724
2024-02-28 17:08:19,-0.0014,0.0077,0.3269
2024-02-28 17:08:19,-0.0014,0.0077,0.3781
2024-02-28 17:08:19,-0.0233,-0.0032,0.4326
2024-02-28 17:08:19,-0.0233,-0.0032,0.4839
2024-02-28 17:08:19,-0.0233,-0.0032,0.5352
2024-02-28 17:08:20,-0.0034,0.011,0.5896
2024-02-28 17:08:20,-0.0227,-0.0041,0.6377
2024-02-28 17:08:20,-0.0043,0.012,0.6922
2024-02-28 17:08:20,-0.0043,0.012,0.7435
2024-02-28 17:08:20,-0.021,-0.0058,0.7915
2024-02-28 17:08:20,-0.0053,0.013,0.846
2024-02-28 17:08:20,-0.0053,0.013,0.8973
2024-02-28 17:08:20,-0.0053,0.013,0.955
2024-02-28 17:08:20,-0.0053,0.013,1.0062
2024-02-28 17:08:20,-0.0053,0.013,1.0575
2024-02-28 17:08:21,-0.0053,0.013,1.1088
2024-02-28 17:08:21,-0.0144,-0.0097,1.1632
2024-02-28 17:08:21,-0.0064,0.0134,1.2113
2024-02-28 17:08:21,-0.0064,0.0134,1.2626
2024-02-28 17:08:21,-0.0064,0.0134,1.3203
2024-02-28 17:08:21,-0.0064,0.0134,1.3715
2024-02-28 17:08:21,-0.0064,0.0134,1.4228
2024-02-28 17:08:21,-0.0064,0.0134,1.4741
2024-02-28 17:08:21,-0.006,0.0378,1.5286
2024-02-28 17:08:21,-0.006,0.0378,1.5798
2024-02-28 17:08:22,-0.0084,0.5998,1.5766
2024-02-28 17:08:22,0.0511,1.6488,1.535
2024-02-28 17:08:22,0.1915,2.8378,1.4805
2024-02-28 17:08:22,0.399,3.9674,1.4196
2024-02-28 17:08:22,0.664,5.0848,1.3651
2024-02-28 17:08:22,1.0001,6.1829,1.3042
2024-02-28 17:08:22,1.4056,7.2834,1.2466
2024-02-28 17:08:22,1.8545,8.3139,1.1889
2024-02-28 17:08:22,2.384,9.3605,1.1312
2024-02-28 17:08:22,2.9484,10.3324,1.0735
2024-02-28 17:08:23,3.5768,11.2937,1.019
2024-02-28 17:08:23,4.2465,12.1964,0.9614
2024-02-28 17:08:23,4.9786,13.0813,0.9069
2024-02-28 17:08:23,5.7784,13.9391,0.8492
2024-02-28 17:08:23,6.591,14.7156,0.7915
2024-02-28 17:08:23,7.4693,15.4556,0.7306
2024-02-28 17:08:23,8.4071,16.1599,0.673
2024-02-28 17:08:23,9.3433,16.7819,0.6153
2024-02-28 17:08:23,10.38,17.3809,0.5544
2024-02-28 17:08:23,11.3832,17.8878,0.4967
2024-02-28 17:08:24,12.4139,18.336,0.439
2024-02-28 17:08:24,13.5107,18.7515,0.3877
2024-02-28 17:08:24,14.5841,19.085,0.3301
2024-02-28 17:08:24,15.6973,19.3673,0.2756
2024-02-28 17:08:24,16.8149,19.6317,0.2467
2024-02-28 17:08:24,17.9048,19.9063,0.2467
2024-02-28 17:08:24,19.0422,20.1927,0.2467
2024-02-28 17:08:24,20.1321,20.4673,0.2467
2024-02-28 17:08:24,21.2695,20.7537,0.2467
2024-02-28 17:08:24,22.3844,21.0289,0.2435
2024-02-28 17:08:25,23.4753,21.2999,0.2435
